3,4,5
15,8,17
35,12,37
63,16,65
99,20,101
143,24,145
195,28,197
255,32,257
323,36,325
399,40,401
483,44,485
575,48,577
675,52,677
783,56,785
899,60,901
1023,64,1025
1155,68,1157
1295,72,1297
1443,76,1445
1599,80,1601
1763,84,1765
1935,88,1937
2115,92,2117
2303,96,2305
2499,100,2501
2703,104,2705
2915,108,2917
3135,112,3137
3363,116,3365
3599,120,3601
3843,124,3845
4095,128,4097
4355,132,4357
4623,136,4625
4899,140,4901
5183,144,5185
5475,148,5477
5775,152,5777
6083,156,6085
6399,160,6401
6723,164,6725
7055,168,7057
7395,172,7397
7743,176,7745
8099,180,8101
8463,184,8465
8835,188,8837
9215,192,9217
9603,196,9605
9999,200,10001
10403,204,10405
10815,208,10817
11235,212,11237
11663,216,11665
12099,220,12101
12543,224,12545
12995,228,12997
13455,232,13457
13923,236,13925
14399,240,14401
14883,244,14885
15375,248,15377
15875,252,15877
16383,256,16385
16899,260,16901
17423,264,17425
17955,268,17957
18495,272,18497
19043,276,19045
19599,280,19601
20163,284,20165
20735,288,20737
21315,292,21317
21903,296,21905
22499,300,22501
23103,304,23105
23715,308,23717
24335,312,24337
24963,316,24965
25599,320,25601
26243,324,26245
26895,328,26897
27555,332,27557
28223,336,28225
28899,340,28901
29583,344,29585
30275,348,30277
30975,352,30977
31683,356,31685
32399,360,32401
33123,364,33125
33855,368,33857
34595,372,34597
35343,376,35345
36099,380,36101
36863,384,36865
37635,388,37637
38415,392,38417
39203,396,39205
39999,400,40001
40803,404,40805
41615,408,41617
42435,412,42437
43263,416,43265
44099,420,44101
44943,424,44945
45795,428,45797
46655,432,46657
47523,436,47525
48399,440,48401
49283,444,49285
50175,448,50177
51075,452,51077
51983,456,51985
52899,460,52901
53823,464,53825
54755,468,54757
55695,472,55697
56643,476,56645
57599,480,57601
58563,484,58565
59535,488,59537
60515,492,60517
61503,496,61505
62499,500,62501
63503,504,63505
64515,508,64517
65535,512,65537
66563,516,66565
67599,520,67601
68643,524,68645
69695,528,69697
70755,532,70757
71823,536,71825
72899,540,72901
73983,544,73985
75075,548,75077
76175,552,76177
77283,556,77285
78399,560,78401
79523,564,79525
80655,568,80657
81795,572,81797
82943,576,82945
84099,580,84101
85263,584,85265
86435,588,86437
87615,592,87617
88803,596,88805
89999,600,90001
91203,604,91205
92415,608,92417
93635,612,93637
94863,616,94865
96099,620,96101
97343,624,97345
98595,628,98597
99855,632,99857
101123,636,101125
102399,640,102401
103683,644,103685
104975,648,104977
106275,652,106277
107583,656,107585
108899,660,108901
110223,664,110225
111555,668,111557
112895,672,112897
114243,676,114245
115599,680,115601
116963,684,116965
118335,688,118337
119715,692,119717
121103,696,121105
122499,700,122501
123903,704,123905
125315,708,125317
126735,712,126737
128163,716,128165
129599,720,129601
131043,724,131045
132495,728,132497
133955,732,133957
135423,736,135425
136899,740,136901
138383,744,138385
139875,748,139877
141375,752,141377
142883,756,142885
144399,760,144401
145923,764,145925
147455,768,147457
148995,772,148997
150543,776,150545
152099,780,152101
153663,784,153665
155235,788,155237
156815,792,156817
158403,796,158405
159999,800,160001
161603,804,161605
163215,808,163217
164835,812,164837
166463,816,166465
168099,820,168101
169743,824,169745
171395,828,171397
173055,832,173057
174723,836,174725
176399,840,176401
178083,844,178085
179775,848,179777
181475,852,181477
183183,856,183185
184899,860,184901
186623,864,186625
188355,868,188357
190095,872,190097
191843,876,191845
193599,880,193601
195363,884,195365
197135,888,197137
198915,892,198917
200703,896,200705
202499,900,202501
204303,904,204305
206115,908,206117
207935,912,207937
209763,916,209765
211599,920,211601
213443,924,213445
215295,928,215297
217155,932,217157
219023,936,219025
220899,940,220901
222783,944,222785
224675,948,224677
226575,952,226577
228483,956,228485
230399,960,230401
232323,964,232325
234255,968,234257
236195,972,236197
238143,976,238145
240099,980,240101
242063,984,242065
244035,988,244037
246015,992,246017
248003,996,248005
249999,1000,250001
5,12,13
21,20,29
45,28,53
77,36,85
117,44,125
165,52,173
221,60,229
285,68,293
357,76,365
437,84,445
525,92,533
621,100,629
725,108,733
837,116,845
957,124,965
1085,132,1093
1221,140,1229
1365,148,1373
1517,156,1525
1677,164,1685
1845,172,1853
2021,180,2029
2205,188,2213
2397,196,2405
2597,204,2605
2805,212,2813
3021,220,3029
3245,228,3253
3477,236,3485
3717,244,3725
3965,252,3973
4221,260,4229
4485,268,4493
4757,276,4765
5037,284,5045
5325,292,5333
5621,300,5629
5925,308,5933
6237,316,6245
6557,324,6565
6885,332,6893
7221,340,7229
7565,348,7573
7917,356,7925
8277,364,8285
8645,372,8653
9021,380,9029
9405,388,9413
9797,396,9805
10197,404,10205
10605,412,10613
11021,420,11029
11445,428,11453
11877,436,11885
12317,444,12325
12765,452,12773
13221,460,13229
13685,468,13693
14157,476,14165
14637,484,14645
15125,492,15133
15621,500,15629
16125,508,16133
16637,516,16645
17157,524,17165
17685,532,17693
18221,540,18229
18765,548,18773
19317,556,19325
19877,564,19885
20445,572,20453
21021,580,21029
21605,588,21613
22197,596,22205
22797,604,22805
23405,612,23413
24021,620,24029
24645,628,24653
25277,636,25285
25917,644,25925
26565,652,26573
27221,660,27229
27885,668,27893
28557,676,28565
29237,684,29245
29925,692,29933
30621,700,30629
31325,708,31333
32037,716,32045
32757,724,32765
33485,732,33493
34221,740,34229
34965,748,34973
35717,756,35725
36477,764,36485
37245,772,37253
38021,780,38029
38805,788,38813
39597,796,39605
40397,804,40405
41205,812,41213
42021,820,42029
42845,828,42853
43677,836,43685
44517,844,44525
45365,852,45373
46221,860,46229
47085,868,47093
47957,876,47965
48837,884,48845
49725,892,49733
50621,900,50629
51525,908,51533
52437,916,52445
53357,924,53365
54285,932,54293
55221,940,55229
56165,948,56173
57117,956,57125
58077,964,58085
59045,972,59053
60021,980,60029
